query_id,query_message,rank,similarity,historical_customer_tweet_id,historical_customer_message,historical_support_reply,relevance
1772563,@AppleSupport Why can’t I️ type the letter I️?,5,0.8945,1697595,@AppleSupport why can’t I️ type the I️ 😐,@514934 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0
336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",1,0.3878,986829,@115858 I’m pissed iOS 11 has messed my phone up so badly,@353856 Let's take a closer look together. Please DM us and we can go from there. https://t.co/GDrqU22YpT,1
336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",2,0.3876,1872101,YALL UPDATE MESSED MY PHONE UP @AppleSupport,"@559036 If you need help with your iPhone, we're here for you. Meet us in DM and tell us what you're seeing or how we can help. https://t.co/GDrqU22YpT",1
336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",3,0.3571,722165,Hey @115858 THIS IOS11 UPDATE has messed my phone completely up THANKS!! Ugh 😡😡😡😡,@292887 We'd love to assist you. Can you tell us in DM what issues you're experiencing specifically? https://t.co/GDrqU22YpT,1
336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",4,0.3427,1709207,@AppleSupport y’all tripping wit all these question mark boxes all my emojis messed up whats going on,@517907 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2
336658,"@115858 @AppleSupport yoooo this update has messed my phone up, whats going on?",5,0.303,772786,"@115858 your new update has TOTALLY messed my phone up, and I’m not the only one! https://t.co/0JVFVZ4SpR",@304602 We're here to help. Send us a DM with which iPhone you have and the iOS version number to begin. https://t.co/GDrqU22YpT,1
2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,1,0.7138,1744845,@115858 when are you going to fix the I️ problem?,@526157 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,2,0.6619,2295708,@115858 when are you going to fix the “i” .......,@666592 We recently released 11.1.1 that addresses this issue. Have you had a chance to backup &amp; update your device? https://t.co/soeXTHWFdK,1
2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,3,0.6367,1725716,@AppleSupport when are you going to fix the “i” problem???,@521927 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,1
2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,4,0.6255,2015164,Hey @115858 when are you going to fix the “I️” problem? @AppleSupport,@595885 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,1
2702821,@AppleSupport @115858 when are you going to fix the I problem in the new software? https://t.co/04HDlgu6b3,5,0.6061,105336,@115858 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ .... when are you going to fix this!?,@139261 We're here for you. Let's get you updated to iOS 11.1.2 to see if the issue persists. You can find instructions on backing up and updating here: https://t.co/80YRnjDFDk,1
40534,@AppleSupport Tried that too.Didn't work.,1,0.7375,2950904,"@AppleSupport Tried that, didn't work",@655071 What happens if you try to make a phone call on your iPhone X?,1
40534,@AppleSupport Tried that too.Didn't work.,2,0.7375,1649077,@AppleSupport Tried that didn’t work,@503748 Got it. Let's move this to DM where we can dig in deeper. https://t.co/GDrqU22YpT,1
40534,@AppleSupport Tried that too.Didn't work.,3,0.695,1706819,@AppleSupport Tried that. It didn’t work.,"@517258 Alright, go ahead and send us a DM so we can look into this further with you. https://t.co/GDrqU22YpT",1
40534,@AppleSupport Tried that too.Didn't work.,4,0.6592,1628910,@AppleSupport Tried that and it didn’t work!,@498630 DM us what iOS version you're on. https://t.co/GDrqU22YpT,1
40534,@AppleSupport Tried that too.Didn't work.,5,0.5768,1538835,@AppleSupport i tried that already it didn't work,"@238546 Send us a DM with which iPhone you have, and we'll find a way to help. https://t.co/GDrqU22YpT",1
2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,1,0.2862,2524545,@AppleSupport Yes I have,@718893 OK great. So next let's take a further look into this issue. Send us a DM to continue. https://t.co/GDrqU22YpT,0
2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,2,0.2862,876356,@AppleSupport Yes I have,@328061 Got it. We're going to need some room to dig in on this issue. Can you join us in DM? https://t.co/GDrqU22YpT,0
2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,3,0.2862,1297970,@AppleSupport Yes I have,"@423340 'FaceTime Live Photos' is turned on in Settings &gt; FaceTime, right? Let us know and confirm your iPhone model and exact iOS.",0
2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,4,0.2862,2213325,@AppleSupport Yes I have..,"@514270 First, let's power off the device using these steps: https://t.co/OWRDHWSt4h Is it still not updated?",0
2784608,@AppleSupport Yes I have. And no it doesn’t. It’s been an issue since the initial 11 update and nothing resolves it,5,0.2862,2432836,@AppleSupport Yes I have,@281962 Do you notice if it's slow on certain apps or throughout your entire iPhone? Let us know more in DM. https://t.co/GDrqU22YpT,0
1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",1,0.2755,1006082,"@115858 please get your shit together with this new update, my phone dies 10x faster than it did before I updated it to iOS 11.0.3😠",@358114 That should not be happening. Let us help. DM us which iPhone this is happening on. We'll go from there. https://t.co/GDrqU22YpT,1
1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",2,0.2461,2018495,@AppleSupport The iOS 11.1 update is absolutely terrible my battery drains quickly and my phone seems a lot slower😒,@596947 We know how vital the battery is. Please check out this article: https://t.co/TpjqFp3jxD DM us the result. https://t.co/GDrqU22YpT,1
1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",3,0.2241,1636202,@AppleSupport Not before I updated,"@500459 Okay, let's delete the current alarm that you have set up &amp; test a new one. Let's set it up for at least 6 minutes into the future.",1
1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",4,0.219,1094305,The ios11 has made my phone operate a lot slower than usual @AppleSupport,@378276 Let’s look into this for you. Send us a DM with more information and we'll continue there. https://t.co/GDrqU22YpT,1
1761198,"@AppleSupport The apps are unexpectedly closing it, it seems a lot slower than it did before I updated it it’s like jumpy",5,0.2176,2019528,@AppleSupport It did,@597204 We're glad to hear it! Feel free to DM us if you have any other questions or concerns. We're always happy to help. https://t.co/GDrqU22YpT,0
2297603,"@AppleSupport Yes, I did. But still not work.",1,0.5854,1557120,@AppleSupport Yes I did,@481351 Thanks for letting us know. Send us a DM and we can continue there. https://t.co/GDrqU22YpT,0
2297603,"@AppleSupport Yes, I did. But still not work.",2,0.5854,1155201,"@AppleSupport Yes, I did",@141072 OK. Do you notice these behaviors more with certain use of the iPhone or in certain apps? https://t.co/GDrqU2kzhr,0
2297603,"@AppleSupport Yes, I did. But still not work.",3,0.5854,1201166,"@AppleSupport Yes, I did.","@402239 Does this happen with any other apps or just Mail? Also, has it ever produced an error? If so, which error?",0
2297603,"@AppleSupport Yes, I did. But still not work.",4,0.5854,885790,@AppleSupport Yes i did,@330326 Got it. Does the word unknown appear as the Caller ID or is it just showing the phone number? DM the answer. https://t.co/GDrqU22YpT,0
2297603,"@AppleSupport Yes, I did. But still not work.",5,0.4921,258930,@AppleSupport Yes I did but the ‘beta’ is still there,@177560 OK. Do you have a TimeMachine backup that was done prior to installing the beta software to your Mac?,1
2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",1,0.3837,408807,@AppleSupport @AppleSupport do you need to enter a password to factory reset an iPad?,"@212457 The iPad will need to be unlocked to be able to restore. If you don't have the password, see https://t.co/F1QfwW1u1N",2
2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",2,0.3112,295393,@AppleSupport What should I do?,"@186353 No worries, we've got your back. Please DM us and we'll continue to assist you from there. https://t.co/GDrqU22YpT",1
2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",3,0.3112,2304338,@AppleSupport What should I do?,@218518 We're here to help. We recommend estimating the weight until you get the exact number. You can go back in to make the change.,1
2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",4,0.3112,1001185,@AppleSupport What should I do?,@357028 We'd be happy to look into your battery concerns with you. Send us a DM using the link below and we'll go from there. https://t.co/GDrqU22YpT,1
2751473,"@AppleSupport I need to factory reset an iPhone, I forgotten the restrictions password though, what should I do?",5,0.3112,1988438,@applesupport what should I do?,"@588526 We're happy to help! Join us in DM with more details about when this issue first started, as well as the country you're located in. https://t.co/GDrqU22YpT",1
2109731,"@AppleSupport Wales, UK",1,0.5913,643253,@AppleSupport Uk,@272715 Got it. Send us over a Direct Message and we'll continue there. https://t.co/GDrqU22YpT,0
2109731,"@AppleSupport Wales, UK",2,0.5913,956346,@AppleSupport UK,@346912 Join us in DM and we'll look a little closer as to what options might be available: https://t.co/GDrqU22YpT,0
2109731,"@AppleSupport Wales, UK",3,0.5913,1623815,@AppleSupport UK,@497382 Thanks for the info. The Spotify app should be available for the iPod Touch in the UK as shown here. https://t.co/Og31mfb6h0,0
2109731,"@AppleSupport Wales, UK",4,0.5913,1081534,@AppleSupport UK,"@375126 Alright, thanks. This link can be used to contact our Sales Support team in the UK: https://t.co/Upk2kTDhCP",0
2109731,"@AppleSupport Wales, UK",5,0.5913,92809,@AppleSupport UK,"@136102 For the best assistance regarding your order status and location, call our Apple Online Store team directly at 0800 048 0408. Lines are open Monday-Friday 08:00-20:00 and Saturday-Sunday 09:00-18:00. Or use: https://t.co/Di7GEfZgJi Other questions? DM us. https://t.co/GDrqU22YpT",0
2552550,@AppleSupport It was 11.1,1,0.6624,2690848,@AppleSupport It was 11.1.1 now it’s updated to 11.1.2,@756466 Okay. Let us help you sort this out. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,0
2552550,@AppleSupport It was 11.1,2,0.5046,188416,"@AppleSupport no, i think it was 11.01",@160213 You can update to iOS 11.0.2. We recommend backing up your device before updating. Click here: https://t.co/4f8hwT5to6,0
2552550,@AppleSupport It was 11.1,3,0.4479,1217593,@AppleSupport iPhone 6s and iOS update was 11.0.3,@405711 You mentioned issues with battery life. About how long is the battery lasting on a full charge?,0
2552550,@AppleSupport It was 11.1,4,0.4128,2812564,@AppleSupport It was not checked :(,@784249 Thank you for checking that for us. We'd like to look into this further with you. Let's continue in DM. https://t.co/GDrqU22YpT,0
2552550,@AppleSupport It was 11.1,5,0.4063,2548668,@AppleSupport It*,@724210 Thanks for reaching out. Would you tell us more about what's happening via DM? https://t.co/GDrqU22YpT,0
2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,1,0.4809,4896,@AppleSupport please make this stop!!! https://t.co/YoyrO8iZKe,"@116859 Let’s work together on this behavior. How long has this been happening? Also, which device are you using?",1
2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,2,0.4356,1566059,@AppleSupport please make this I️ issue stop,@483416 We’d love to help you with that. Let's work through the steps suggested in this article: https://t.co/xU1AGIa4ME,0
2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,3,0.432,2374422,MAKE THIS GO AWAY😩😩😩 I already updated my phone @AppleSupport https://t.co/k0nT4Rsb2D,"@684954 We'd like to help. Are you still seeing this on your predictive text while typing, or are you seeing this in other places? DM us. https://t.co/GDrqU22YpT",1
2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,4,0.4156,874908,@AppleSupport please make this stop. IT ISN'T ME! https://t.co/2YPL7EIPhm,@327716 Thank you for the info. This isn't from us. Please follow the guidance here for where to forward: https://t.co/sayPykspsk,1
2674185,@AppleSupport please make this dock go away. Soon. https://t.co/EUjUNsHL58,5,0.387,1715207,@AppleSupport can you please make this stop https://t.co/h6T1Udd8RH,@519461 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,1,0.2715,2280907,@AppleSupport iOS 11.1 fixed the battery issue.,@663032 We're glad it is resolved for you. Let us know if we can help you in the future.,1
1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,2,0.2592,937708,I updated my software to iOS 11.0.3 and now my phone is full of problems! Thanks @115858,@342280 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,1
1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,3,0.2445,2056285,@AppleSupport Thanks for iOS 11.0.1 but when is 11.0.2 because you fixed NOTHING.,@150154 iOS Hi! 11.0.2 is now available. You can update using these steps: https://t.co/80YRnjVguS DM us if you run into any issues. https://t.co/GDrqU2kzhr,1
1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,4,0.2427,790666,"@AppleSupport I was wrong, it fixed nothing. :(",@308539 Thanks for keeping us updated. Is your device freezing during specific use of an app or does it happen randomly?,1
1999892,IOS 11.1 fixed nothing and created more problems. Thanks @115858 @AppleSupport,5,0.236,1747386,"Yo @115858, just fire whoever messed up and created this I️ glitch.",@526767 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,1,0.4263,1433726,"Yo, y’all niggas on some nut shit rn. Our phones buggin tf out. And I️ need y’all to fix that shit. @115858",@452889 Let's talk about this a bit more. Have you already updated to iOS 11.1? Let us know in DM. https://t.co/GDrqU22YpT,0
1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,2,0.4159,648529,@115858 my phone on some nut shit after all these bullshit updates. Yall need to fix shit asap before I be team @125607 🤷🏾‍♂️🤷🏾‍♂️,@274117 What are you experiencing exactly? We want to address this with you. Tell us more via DM: https://t.co/GDrqU22YpT,0
1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,3,0.3439,1508752,@115858 y’all on some bullshit!! Can’t use “I️”” or “I️t””,@470198 What iOS version are you currently on? Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT,0
1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,4,0.2928,978606,@115858 FIX THIS SHIT https://t.co/JCsc5aXFLm,@352094 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,1
1763771,@115858 y’all on some nut shit https://t.co/oAoCCSLq8w,5,0.2928,1481915,@115858 fix this shit https://t.co/v2KifA473q,@464094 We're here to help. Are you using iOS 11.1? Let's meet in DM and we'll go from there. https://t.co/GDrqU22YpT,1
2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,1,0.3241,2406706,"@AppleSupport you guys fixed the “I” problem, but now “it” is changing to I.t 🤦🏼‍♀️😂",@692151 Let's help take a closer look. Follow up with us in DM. Tell us the version of iOS 11 installed there. https://t.co/GDrqU22YpT,1
2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,2,0.2756,1001231,@AppleSupport I have the iPhone 6s +,"@357037 To confirm, are you currently running the latest version of iOS 11, 11.0.3? Let us know via DM. We'll go from there. https://t.co/GDrqU22YpT",0
2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,3,0.2756,1442788,@AppleSupport I have the iPhone 6s,@454766 Okay! Let's see if any old iOS beta profiles are installed in the Settings app &gt; General &gt; Profiles &amp; Device Management.,0
2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,4,0.2643,1577317,@115858 how have you not fixed the I️ problem yet?,"@485850 Thanks for reaching out. We're glad to help, so we've got a guide to share with you regarding this: https://t.co/xU1AGHStV6",1
2948230,@AppleSupport Have you guys fixed the I️ problem on the iPhone 6s yet? It’s been pretty annoying... Will an update fix it?,5,0.2531,2341863,@AppleSupport Thanks guys fixed it!,@677397 Glad to hear it. Don’t hesitate to reach out in the future. Take care.,1
2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,1,0.2456,1565229,@AppleSupport what’s with the i️???,@483225 Take a look at this article for some tips that may help: https://t.co/xU1AGIa4ME,0
2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,2,0.2456,1646776,@AppleSupport what’s with the I️ ??,@503166 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz,0
2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,3,0.1679,1948722,@AppleSupport also just said unable to connect to iMessage server.,"@578961 Please review and try the steps listed within: https://t.co/jhvYu3nzpA If not resolved after following these steps, DM us. https://t.co/GDrqU22YpT",2
2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,4,0.1632,2127261,Yo @AppleSupport what’s with the I️ thing?,@626339 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0
2902003,@AppleSupport What's with the terrible support and iMessage server being unavailable? Isn't Apple supposed to be better than every other oversized compnay that doesn't care about its customers?,5,0.1599,184503,@AppleSupport what’s with this glitch??,@159426 Thanks for reaching out. Could you let us know more details about the particular issue you’re facing? We’ll move from there.,0
552234,I feel like I got a android @AppleSupport,1,0.338,1991069,I updated my phone so why tf am I still seeing boxes nshit like I got an Android?! @AppleSupport,@589265 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version. DM us. https://t.co/GDrqU22YpT,1
552234,I feel like I got a android @AppleSupport,2,0.2948,1566045,@AppleSupport why are y’all treating me like I️ got a android when I’m fasho apart of the team so put some respect on my name,"@483412 Thanks for reaching out. This article has more details on that behavior, including how to address it: https://t.co/xXaXefaskH",1
552234,I feel like I got a android @AppleSupport,3,0.2627,1649589,@115858 YA’LL NEED TO GET IT TOGETHER FR EVERYTIME “I️” IS TYPED SOME WEIRD SHIT POPPIN UP MAKING ME FEEL LIKE I️ GOT AN ANDROID,@503880 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
552234,I feel like I got a android @AppleSupport,4,0.2397,1681595,@115858 please fix this ASAP I️ feel like I’m using an Android 😒 https://t.co/4RxalRllEd,@511245 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1
552234,I feel like I got a android @AppleSupport,5,0.2285,1594916,Looks like I got a faulty one... @AppleSupport #iPhoneX https://t.co/NaExEn2IOm,@490072 Thank you for reaching out to us. Check out this article for help with Face ID on your iPhone X: https://t.co/V5aWSz5xXV,0
