sample_number,customer_tweet_id,customer_message,support_tweet_id,support_reply,extracted_actions,action_count
26,1924231,@115858 your iOS 11.0.3 update is sucking the life out of my phone. It’s now FREEZING constantly and I have to reboot 100x/day #iphone #sucks,1924230,@572758 This isn't what we want to see with iOS 11 on your iPhone. Let's partner together in DM to get a closer look. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
27,2558677,@AppleSupport hello do you still sell the first generation iPad or are they discontinued now. Regards,2558676,"@476795 You can see what models we're currently selling, here: https://t.co/maN6wOXGev",NO_CLEAR_ACTION,1
28,266833,@AppleSupport I’ve carried out a reset network settings https://t.co/07ZMPSmRbh,266835,@179585 Please DM us any steps you've tried so far here: https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
29,1742538,Hey @AppleSupport @115858 why does my I️ turn into the stupid A with a boxed question mark? #inconvenient,1742537,@525639 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ANNOUNCE_FIX_UPDATE | PROVIDE_WORKAROUND,2
30,520253,"Hey @AppleSupport my iPhone 6 is locking &amp; requiring passcode every minute. I see lots of others have the same issue. What happened? How do we fix it? Resetting date to Nov doesn't work for me. (iOS11.1.2, over wifi, in NZ)",520252,@240071 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU2kzhr,CONTACT_SUPPORT_DM,1
31,1928162,"@AppleSupport my iP8, although water resistant at 1m for 30 mins, is now not working after spending 3 secs at 1 inch depth-hoping for fix :/",1928161,"@573825 Hey there! We can appreciate why this would be a concern, so let's see what we can do. Shoot us a DM with any specific details. https://t.co/GDrqU22YpT",ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
32,493559,"@115858 I decide to do your #OSHighSierra and this happened! I am also video-recording this upgrade process on my iPad if more problematic situations happen, like with my previous experience upgrading to Sierra. I am very upset about this &amp; my gut told me this would happen!WHY?!😓 https://t.co/fl8lf1qPZv",493557,@232665 Thanks for reaching out. We can definitely look into this with you. Is your Mac still in the process of updating or has it stopped?,NO_CLEAR_ACTION,1
33,1391220,@AppleSupport can I update my iOS again to go back to the old one so my phone will work again?,1391218,"@443575 Hey, what's going on with your iPhone? We'll work with you to get everything sorted.",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
34,2748392,So my phone just completely blacked out being quite unresponsive for like the last 2 mins...this phone not even a year old. What the fuck @115858?!?,2748390,@769546 We're here for you. Let's first try to force a restart: https://t.co/8MvHMFZ83h Do you have it connected to the power cable? Tell us in a DM. https://t.co/GDrqU22YpT,RESTART_DEVICE | ASK_DIAGNOSTIC_QUESTION,2
35,2835866,"@AppleSupport i use iphone 6 plus and i was upgrade ios 11.1.2 and than my touch id is broken/failed! how to fix it, please! thank u",2835865,"@789352 Hey, Touch ID is a convenient feature. Let's work together to see what's going on with it. To help us understand better, what exactly happens when you try to use it? For example, are you unable to unlock your iPhone? Also, have you tried restarting your device?",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
36,53567,"@115858 is there A solution for the network bug in combination iPhone8 and T-Mobile in the Netherlands, can not call with my new iPhone8..",53566,@128106 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
37,2401568,@115858 your new update sucks dude. It deleted all of my photos and I had pictures of my son when he was a newborn. Not happy,2401567,@690965 We know how important photos are. Let’s get you in touch with our Photos experts here: https://t.co/IBIY3vMgPj,ROUTE_TO_SPECIALIST,1
38,901572,"@AppleSupport IOS 11 Not for my phone, I want to return to IOS 10",901570,@334031 Thanks for reaching out to us. Can you please clarify the issue that you are having so that we can better understand?,NO_CLEAR_ACTION,1
39,2353603,@AppleSupport Yes I do,2353605,@680083 What model of device is this? Would you be able to give us an example of the issue you are having? https://t.co/GDrqU22YpT,ASK_FOR_DETAILS,1
40,1679219,@488255 Is @115858 going to fix this bug? When you type “I️” it becomes that symbol there...,1679218,@379532 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,ANNOUNCE_FIX_UPDATE | PROVIDE_WORKAROUND,2
41,1354510,Was it truly reserving it if it wasn’t reserving my selection to pick up in store? A little unfair @AppleSupport,1354509,@435868 Our Sales team would best be able to assist you with that. You can find their contact options here: https://t.co/8yjRd1Xo0i,ROUTE_TO_SPECIALIST,1
42,2782007,@AppleSupport my iPhone 7 has been lagging. What’s going on i didn’t sign up for this.,2782006,"@776911 Hey, can you tell us some more details on what you mean when you say that it's lagging? Also, what's the exact iOS version currently installed? Let us know and we'll work with you towards a solution.",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
43,2403728,"Hey @AppleSupport, whenever I try to lock my phone screen it’s doesn’t work, I talked to your support yesterday and it didn’t rectify my problem, send help pls",2403727,@691456 We'd love to help. Could you Direct Message us and let us know what iOS version you're using? https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
44,335277,@797 @AppleSupport guys! right after upgrading iOS 11.0.2 my phone is so messed up! Camera acting funky big time!,335276,@195920 We're here to help. Shoot us a DM of what country or region you're located in. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
45,1028543,@AppleSupport iphone 7,1028542,@363360 Thanks for clarifying. Let's meet up in DM and see what we can do. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
46,2230668,@AppleSupport This is disgusting!! Can't receive whatsapp notification even if wifi/cellular 4g network is on after the ios11 update .,2230666,@633274 We'll do all we can to assist. Which version of iOS 11? Does this persist after rebooting the device?,ASK_DIAGNOSTIC_QUESTION,1
47,1001182,@AppleSupport I want to go back to ios 10.3.3 as I am facing battery and lag issue on my 6s plus,1001184,@357028 We're happy to take a closer look at your issues in DM. You can use the following link to meet us there. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
48,617173,I need to fix my MacBook. Why is it so bloody difficult to get an appointment at your stores @AppleSupport?!,617172,@266429 We'd like to help. Tell us more about the issue you're experiencing with your MacBook via DM. We'll go from there. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
49,1772851,@AppleSupport Y’all need to talk to the customer service people because they got me all the way messed up!,1772850,@532832 We'd be glad to discuss your support experience. Please DM us. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
50,1557339,@115858 @115858 now all my contacts are gone...I just got a 7 I'm not buying an iPhone x u fuckin animals,1557338,@481398 Let's look at this together. We want you to enjoy that device. Do the contacts show up on any other devices?,NO_CLEAR_ACTION,1
51,1009306,This new software update has made me phone gan crackers sort it out please fellas @115858,1009305,@358822 We are here to help whenever possible. DM the specific issue you are seeing to get started. https://t.co/GDrqU22YpT,NO_CLEAR_ACTION,1
52,60333,@AppleSupport I think it’s fixed...thank you,60335,"@129797 You’re welcome! If you have any other issues, let us know. We’re available every day from 5 a.m. to 8 p.m. Pacific time.",NO_CLEAR_ACTION,1
53,1564037,"@AppleSupport Pre-ordered iPhone X, dispatches Nov 21. Just saw local pickup available, ordered it. Means I got it or only have a chance to?",1564036,@482964 Hi there. We can help point you in the right direction. DM us and tell us which country you're located in. https://t.co/GDrqU2kzhr,PROVIDE_INFORMATION | ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,3
54,2838731,@AppleSupport Hello I bought a new mini ipad a year and a half ago and when i update i can not open the ipad (it shows me this problem) https://t.co/EMIXPftmQP,2838730,@135204 We'd like to assist. It appears this iPad mini has been enrolled in management software. Send us a DM and we'll work with you from there. https://t.co/GDrqU22YpT,PROVIDE_INFORMATION | CONTACT_SUPPORT_DM,2
55,2686666,@AppleSupport the new upgrade has stopped some my apps from working,2686665,@755509 We can help! What's going on with them specifically?,ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
56,451415,@AppleSupport It was just connected to my Apple TV by the way. 5 minutes later to stop and pause and now it can’t connect to it. Not to mention it just took 2 minutes to send that tweet when it should usually take 2 seconds.,451414,@139842 To help isolate the issue have you tried moving closer to your Wi-Fi router? Let us know in DM. https://t.co/GDrqU22YpT,CHECK_CONNECTION | ASK_DIAGNOSTIC_QUESTION | CONTACT_SUPPORT_DM,3
57,2220824,Wonder when @115858 will fix the letter I️... I️ kinda like it - very unique.,2220823,@648643 We're here to help. An update has been released to resolve the issue. Please back up the device and proceed with the update. DM us if you still need further assistance. https://t.co/GDrqU22YpT,ANNOUNCE_FIX_UPDATE | UPDATE_SOFTWARE | CONTACT_SUPPORT_DM,3
58,488035,@118721 @AppleSupport Update: it put the songs into a separate album. How can this be corrected on my mobile device? https://t.co/Vz69qGkdug,488034,@231171 Thanks for reaching out. You can combine your songs into the same album using iTunes. Check this out: https://t.co/mZI2lwDo8o Let us know if you have any questions.,PROVIDE_ARTICLE,1
59,1277211,"@AppleSupport Not happy with headers font size.. like Contacts, chats, Recents these all heading’s size. Is there anyway to reset it as earlier?",1277213,"@418921 While the size of that font can't be adjusted directly, we do welcome feedback. Submit yours here: https://t.co/oWzjJxkvlC",PROVIDE_INFORMATION | ROUTE_FEEDBACK,2
60,1888353,@AppleSupport iOS 11 has destroyed my battery life. Please fix it.,1888352,@563159 Let's work together to find a solution. Join us in DM with the exact version of iOS 11 running on your device. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
61,103224,"""Keep in mind that this version will still be available to all users as a manual update from the App Store""...@118936 @115858.. the app store does not behave like this. Please can we fix this 🙏",103222,@138711 We're happy to look into this with you. What are you downloading when you see this message?,ASK_DIAGNOSTIC_QUESTION,1
62,1539988,@AppleSupport https://t.co/Y9JfRaKvKl,1539987,@203170 Thanks for letting us know. Would you mind shooting us a DM so we can look into this a bit further. https://t.co/GDrqU22YpT,NO_CLEAR_ACTION,1
63,2024868,"So, @115858 y’all not gonna fix this 👉🏿 I️",2024867,@145134 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,PROVIDE_WORKAROUND | PROVIDE_ARTICLE | CONTACT_SUPPORT_DM,3
64,2050946,Seriously @115858 y’all gotta fix this update .. my phone is trash AF,2050945,"@606514 We'd like to see how we can help with your iPhone. To get started, DM us more information. We'll go from there. https://t.co/GDrqU22YpT",CONTACT_SUPPORT_DM,1
65,331717,@AppleSupport Since the last update my earpods remote only plays and pauses for Apple Music even when it’s closed. I only really use Spotify,331715,@194992 We'd be happy to help. We want you to be able to enjoy your AirPods. Can you provide us which device you're using with them?,ASK_FOR_DETAILS,1
66,845838,Dear @115858 can you please release a bug fix to your #ios11 that's destroying my battery life! Please and thank you. #FirstWorldProblems,845836,@321041 Let's see what we can do to help with this. What version of iOS shows installed in Settings &gt; General &gt; About?,NO_CLEAR_ACTION,1
67,1211778,@AppleSupport sooooooo any reason the new update completely destroyed the function of my phone???,1211777,@404416 We can help! Send us a DM and let us know what's going on. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
68,2532856,@AppleSupport Why does the iPhone 8 continue to rotate with the orientation lock on????,2532855,@720794 We are here to help. DM us your exact iOS version and we can take a look at this. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
69,2042351,@AppleSupport IOS 11 IS RUINING MY LIFE MY PHONE KEEPS FREEZING AND I CANT SEE MY NOTIFICATIONS ☹️,2042350,@603932 We can help with iPhone performance. Could you Direct Message us and let us know what country you're located in? https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
70,390072,@AppleSupport dm please,390071,"@208341 Thank you for reaching out! We've received your DM messages, and will proceed from there to help sort this out.",CONTACT_SUPPORT_DM,1
71,2503716,I recently got my iPhone X and I realized the left side of my speakers don’t work @AppleSupport,2503714,"@714055 Hey there! Congratulations on your new iPhone! No need to worry. That is operating as it should. Have a look at the speaker locations, here: https://t.co/ngwnmNILIr The left side is a microphone, while the right is a speaker and a microphone. https://t.co/GDrqU22YpT",PROVIDE_INFORMATION | PROVIDE_ARTICLE,2
72,1273596,@AppleSupport Its fine with @133941 on @116230 using @9242,1273598,@385029 Which device is this on and which version of the iOS is currently installed? Let us know via DM. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
73,266838,@AppleSupport iPhone 6 thanks 🙏🏻,266836,@179586 Are you having issues with any specific apps or usage? Let us know in Direct Message. https://t.co/GDrqU22YpT,ASK_DIAGNOSTIC_QUESTION | CONTACT_SUPPORT_DM,2
74,112841,"@AppleSupport received email that seems fraudulent. Says my ID used in Mexico. Have not been in Mex. My computer is ""suspicious"" of the link to unlock. Need help but it's getting late in UK. Help?",112840,@141083 Great question! It's probably fraudulent and we'd love to see it. Take a look at this article for how to tell and where to forward to us: https://t.co/LNMCdqt6fD,PROVIDE_INFORMATION | PROVIDE_ARTICLE,2
75,1912999,"@AppleSupport I put my laptop in my backpack flew on a plane and took it out, now the trackpad is bulged and it was not when i left.",1912998,"@569827 We're here for you, and we want to help. Which laptop are you experiencing this with? Also, which country are you located in? Please DM us your response. https://t.co/GDrqU22YpT",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,3
76,1051415,Hey @115858 can you fix whatever bug is with your iOS so I can’t connect a personal hotspot thanks,1051413,"@368466 You've come to the right place. Is the issue with you connecting to a hotspot, or creating one from your device?",CHECK_CONNECTION | ASK_DIAGNOSTIC_QUESTION,2
77,809475,@AppleSupport Yep!,809476,@312884 We are happy to hear this! We hope you have a good day today!,NO_CLEAR_ACTION,1
78,2967837,My phone has been charging for 45 minutes yet it’s lost 8% battery. @115858 wtf you doing?,2967836,"@818710 Hi, we'd love to help work with you to get your battery life sorted out. Can you send us a DM with the iPhone model you're using and the iOS version on it? https://t.co/GDrqU22YpT",ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
79,1499997,@468245 Girl same lmao I️ was tripping out it won’t go away,1500007,@468249 We'd like to help. Shoot us a DM using the following link. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
80,524504,"@AppleSupport @241274 Dear Apple , Many of us in Jaipur, India are also facing same problem since midnight. OS is crashing repeatedly in every 15 seconds.",524516,@241289 We've got your DM and will continue with you there. Thank you!,CONTACT_SUPPORT_DM,1
81,1492642,@AppleSupport dms,1492641,@466628 We received your DM. Be on the lookout for our response there. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
82,2798378,@AppleSupport bruhhh fix this dumb shit “ I️ “,2798376,@780771 Let's take a closer look at your device's keyboard together. Which model do you have and do you know the OS version number currently installed? Any steps tried so far since this started and when did this start happening?,ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
83,184391,So @115858 has fixed that text bug with iOS 11.1.1. How about fixing the no sound bug when we screen recorded.,184390,"@159397 Let's take a look at this together. When you long press on the record button in the Control Panel, the option for Microphone Audio should appear. When you toggle it, does anything happen in the recording?",PROVIDE_TROUBLESHOOTING | ASK_DIAGNOSTIC_QUESTION,2
84,1332618,"@AppleSupport Yes, the twitter app does not open.",1332617,@430879 Thanks for letting us know. Check out this article for troubleshooting: https://t.co/lsXolVRbbk Let us know if the issue persists.,PROVIDE_TROUBLESHOOTING | PROVIDE_ARTICLE,2
85,2185502,@AppleSupport @2310 #phishing #email #apple https://t.co/kpl9P6jpKS,2185501,@640054 You can use this guide to help respond properly to and report phishing attempts: https://t.co/LNMCdqt6fD,PROVIDE_ARTICLE,1
86,1880326,Turned 📱 off before 45 min flight @ 20% 🔋. Turned on @ airport curb = 100% dead. Taxi home = $55 &gt; $15 @115879. Thx @AppleSupport #ios11 😡,1880325,@347432 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
87,2082175,Did anyone else lose contacts after this most recent iOS update? Each day I discover a new person who disappeared! #notcool @115858,2082174,"@615782 We certainly don't want that happening. Please send us a DM, and we will look into this together. Thank you. https://t.co/GDrqU22YpT",CONTACT_SUPPORT_DM,1
88,656256,Hi @AppleSupport i love my ⌚️nike+ but i wonder about the battery life if i join marathon &amp; finish around 7-8 hrs. I Need your tips !,656255,@276128 We have an article that can help Maximize Battery Life for all our devices: https://t.co/bivpdfBNJ6,CHECK_BATTERY | PROVIDE_ARTICLE,2
89,2787914,"@115911 @TMobileHelp @AppleSupport @115858 I’ve had this phone for two months and it’s worked fine but now it won’t read my sim and keeps saying phone not allowed, what does that mean? https://t.co/16LOu4Qtvr",2787913,"@778276 We're happy to see how we can help with your iPhone. To start, check out these steps: https://t.co/UTP2qBi1Is",PROVIDE_TROUBLESHOOTING | PROVIDE_ARTICLE,2
90,2639638,"@115858 , what have you done to my phone, doing an update and I'm 6 hours in and still a blank phone , not happy 😡",2639637,"@696221 We want to help. If you press any buttons, do you see anything at all the iPhone?",ASK_DIAGNOSTIC_QUESTION,1
91,689401,"@284741 @115858 @AppleSupport Me compré el iPhone 8plus y el flash no funciona con el frío. Teniendo en cuenta que aún no hace frío aquí (hoy estamos a -3, pero llega a los -15/-20)me parece un gran error! Y lo mandé al SAT el viernes pasado, después de usarlo 5 días y sin respuesta aún.",689399,@137148 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,ROUTE_LANGUAGE_SUPPORT,1
92,2293097,@115858 y’all need to fix this shit .. I️ can’t deal 🤦🏽‍♂️,2293096,@665908 We're here to help. We recommend updating to iOS 11.1.1 to resolve this issue. You can do so via Settings &gt; General &gt; Software Update.,UPDATE_SOFTWARE,1
93,491464,@AppleSupport My critical ops game keeps on crashing what should i do,491462,"@232098 Thanks for reaching out. What device are you playing on, and what version of software is that device running?",ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,2
94,856669,When are you going to fix this battery problem @115858,856668,@323442 We want to help. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
95,272921,@181179 @AppleSupport Same problem here with iPhone 6plus,322324,@192787 Hi there. DM us more details on the issue you're noticing. We'll be glad to help out. https://t.co/GDrqU22YpT,ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
96,2261421,@115858 literally what the fuck https://t.co/IgmHLDVxNJ,2261420,"@658420 Let's check into what's going on here. Meet us in DM with your iPhone model and iOS version shown in Settings &gt; General &gt; About, please. https://t.co/GDrqU22YpT",ASK_FOR_DETAILS | CONTACT_SUPPORT_DM,2
97,2278939,Shoutout @AppleSupport lol stays fckn up. The “I️” don’t even work on the keyboard 😤,2278937,"@662597 We recently released an iOS update, 11.1.1, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/ui8Itz8ESg",ANNOUNCE_FIX_UPDATE | UPDATE_SOFTWARE | PROVIDE_ARTICLE,3
98,2431303,"@115858 Just got my new iPhone X, absolutely love it. Little problem in the fact that I can’t change my profile picture on my Instagram. The ‘done &amp; cancel’ end up hidden behind the iphones time &amp; network at the top of screen !! Can’t touch them so have to come out and close app.",2431302,@697896 We know that having the ability to update your profile photo in any app is important. What version of the iOS software do you have installed? You can find this in Settings &gt; General &gt; About. Meet us in DM with this information so we can better assist you.,ASK_DIAGNOSTIC_QUESTION | CONTACT_SUPPORT_DM,2
99,2688136,I hate that I shit @115858 fix this,2688135,@755841 Thank you for reaching out to us. We'd like to gather more information to better assist you. Please DM us what you are experiencing and the type of device you are using. https://t.co/GDrqU22YpT,CONTACT_SUPPORT_DM,1
100,1761237,@AppleSupport Any,1761239,@530026 Does the issue continue after a normal restart of your device? Let us know and we'll continue. https://t.co/n9BF3L9h6y,RESTART_DEVICE | ASK_DIAGNOSTIC_QUESTION,2
