example_id,customer_message,actual_intent,predicted_intent,intent_confidence,intent_correct,supported_actions,decision,decision_reason,draft_response
157,"@AppleSupport All my friends are sharing their profile, i cannot search for people, i cannot see people i have no “button” to share my profile.... when i search, everything but people come up? When i search for my friends the search comes up empty! there is something up with my account",ACCOUNT_APPLE_ID,APP_PROBLEM,0.157984921569981,False,PROVIDE_ARTICLE,ESCALATE,"Intent confidence is 0.16, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue.
16,@AppleSupport iPhone 7 Plus. The camera app pulls up a black screen and the flashlight app does not work. Also causes extreme lag when I try to open it.,HARDWARE_DEVICE,SCREEN_DISPLAY,0.8434294105321455,False,CONTACT_SUPPORT_DM | ASK_DIAGNOSTIC_QUESTION,AUTO-HANDLE,"Intent confidence is 0.84 and historical evidence supports 2 resolution action(s), including an action observed in at least 3 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Could you tell us a little more about what is happening and when the issue started? Please send us a DM with the relevant details so we can look into this with you.
162,"@AppleSupport Yeah, was perfect on my home WiFi yesterday and this morning but won’t let me sign in to iCloud now I have signed out to see if that fixed",CONNECTIVITY,ACCOUNT_APPLE_ID,0.7111356144890704,False,CONTACT_SUPPORT_DM,AUTO-HANDLE,"Intent confidence is 0.71 and historical evidence supports 1 resolution action(s), including an action observed in at least 2 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
61,@AppleSupport I’m trying to unlock it using the sleep/wake button,HARDWARE_DEVICE,HARDWARE_DEVICE,0.230167905382597,True,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.23, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
116,@AppleSupport I just don’t any sound for notifications,SETTINGS_FEATURE,APP_PROBLEM,0.2673662389155,False,CONTACT_SUPPORT_DM | ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Could you tell us a little more about what is happening and when the issue started? Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
115,@AppleSupport My phone keeps freezing and and shutting off! For no reason! I have updated the software and restarted numerous times. This happens multiple times a day!!,PERFORMANCE_STABILITY,APP_PROBLEM,0.8811059741144828,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,AUTO-HANDLE,"Intent confidence is 0.88 and historical evidence supports 2 resolution action(s), including an action observed in at least 4 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
146,@AppleSupport It is usually happens everytime I open the App Store to update my apps,APP_STORE_PURCHASE,APP_PROBLEM,0.4311350918775295,False,ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.43, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed.
10,@AppleSupport It happens when I open an app like Twitter then pressing the home button and swiping to the screen on the right on my home. This causes my screen to go into landscape mode when I have portrait mode locked.,SCREEN_DISPLAY,SCREEN_DISPLAY,0.34078531078681046,True,ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.34, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed.
74,"@AppleSupport Yes, all the apps are up to date",APP_PROBLEM,APP_PROBLEM,0.6847506021683504,True,CONTACT_SUPPORT_DM | PROVIDE_TROUBLESHOOTING,AUTO-HANDLE,"Intent confidence is 0.68 and historical evidence supports 2 resolution action(s), including an action observed in at least 3 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. You can also try the troubleshooting steps that apply to your situation. Please send us a DM with the relevant details so we can look into this with you.
188,@AppleSupport Phone rings and when I answer there is no audio.,HARDWARE_DEVICE,APP_PROBLEM,0.26846944411976215,False,ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed.
113,@AppleSupport Yes I was. Those settings are all set in a mode that should keep the watch power charged.,BATTERY_POWER,APP_STORE_PURCHASE,0.3376109950066136,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.34, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
94,@AppleSupport I can’t go into music through my settings. It freezes up and then closes my settings app,APP_PROBLEM,APP_PROBLEM,0.6245058489753924,True,CONTACT_SUPPORT_DM | ASK_DIAGNOSTIC_QUESTION,AUTO-HANDLE,"Intent confidence is 0.62 and historical evidence supports 2 resolution action(s), including an action observed in at least 3 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Could you tell us a little more about what is happening and when the issue started? Please send us a DM with the relevant details so we can look into this with you.
139,@AppleSupport It’s killing my batter after update pls fix apple team pls...,BATTERY_POWER,APP_PROBLEM,0.21743717725121628,False,PROVIDE_ARTICLE | PROVIDE_WORKAROUND | ANNOUNCE_FIX_UPDATE,ESCALATE,"Intent confidence is 0.22, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. There may be a workaround available for this issue. We can also point you to the relevant Apple Support resource for this issue.
46,"@AppleSupport It just hangs anywhere, touch or home button will not respond for a while &amp; then everything will get closed &amp; I will be back @ home screen",PERFORMANCE_STABILITY,APP_PROBLEM,0.366475119785649,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.37, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
86,@AppleSupport @726922 It’s not the software. I just bought this phone brand new and I’m having the same exact problems. It’s on you guys for putting a shitty phone out that CONSTANTLY freezes. I can’t even unlock it without it freezing.,PERFORMANCE_STABILITY,APP_PROBLEM,0.7458713064622239,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,AUTO-HANDLE,"Intent confidence is 0.75 and historical evidence supports 2 resolution action(s), including an action observed in at least 4 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
68,@AppleSupport How do we get the music controls lower? 😭,MUSIC_MEDIA,SETTINGS_FEATURE,0.4704454908404154,False,CONTACT_SUPPORT_DM | PROVIDE_ARTICLE,ESCALATE,"Intent confidence is 0.47, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue. Please send us a DM with the relevant details so we can look into this with you.
129,@AppleSupport That’s great. How come nothing downloads from the iTunes Store?,APP_STORE_PURCHASE,MUSIC_MEDIA,0.36354283454728414,False,,ESCALATE,"Intent confidence is 0.36, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this.
174,@AppleSupport Yes i can access everything just fine but i can’t update my apps.,APP_STORE_PURCHASE,APP_PROBLEM,0.36594816571460503,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.37, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
31,@AppleSupport Yes I have a subscription,APP_STORE_PURCHASE,APP_PROBLEM,0.20257425268754933,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.20, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
69,@AppleSupport @231157 I think I need some help with the battery https://t.co/PYywAbGkF2,BATTERY_POWER,BATTERY_POWER,0.577943643765843,True,PROVIDE_ARTICLE | CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.58, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue. Please send us a DM with the relevant details so we can look into this with you.
83,"@AppleSupport got an iphone 5s, running ios11 but had the problem on ios10 too. the podcast app will rewind to a certain point everytime i press pause",APP_PROBLEM,APP_PROBLEM,0.3005787891165423,True,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.30, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
120,@AppleSupport Originally loaded onto the phone via iTunes on my MacBook. Running iOS 11.1.1,OTHER,APP_PROBLEM,0.24380801085688877,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.24, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
184,@AppleSupport Screen typing on its own either a malfunction or i have ghost,SCREEN_DISPLAY,SCREEN_DISPLAY,0.4825218123888792,True,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.48, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
25,@AppleSupport I downloaded a new iTunes and can't try it because they want me to enter a verification # texted to my phone. How about my email username?,ACCOUNT_APPLE_ID,ACCOUNT_APPLE_ID,0.20579747144531046,True,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.21, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
138,"@AppleSupport Hi, it is happening with any app I use. And when I am switching between apps it will freeze in between panes for a few seconds",PERFORMANCE_STABILITY,APP_PROBLEM,0.6813955386536558,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,AUTO-HANDLE,"Intent confidence is 0.68 and historical evidence supports 2 resolution action(s), including an action observed in at least 3 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
96,"@AppleSupport I've tried force restart many times but it doesn't help. I managed to enter recovery mode, restore &amp; update to iOS 11.2, but the touch screen still doesn't work.... ☹️",SCREEN_DISPLAY,APP_PROBLEM,0.24764646236515633,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.25, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
57,@AppleSupport I took low battery off and they still won’t download.,APP_STORE_PURCHASE,BATTERY_POWER,0.29880315885212866,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.30, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
20,@AppleSupport Thank you!,OTHER,APP_PROBLEM,0.26903472080692264,False,,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this.
123,"@AppleSupport yes the upper portion of the display not responding, and I can't turn off the phone https://t.co/6WV9VNKwam",SCREEN_DISPLAY,SETTINGS_FEATURE,0.2898902857732792,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.29, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
77,@AppleSupport Its responding really slow when I type,PERFORMANCE_STABILITY,PERFORMANCE_STABILITY,0.5728278423086441,True,,ESCALATE,"Intent confidence is 0.57, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this.
6,@AppleSupport Wtf nvm,OTHER,APP_PROBLEM,0.2725605486983391,False,PROVIDE_WORKAROUND | PROVIDE_ARTICLE | ANNOUNCE_FIX_UPDATE | CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. There may be a workaround available for this issue. We can also point you to the relevant Apple Support resource for this issue. Please send us a DM with the relevant details so we can look into this with you.
66,"@AppleSupport I was downloading from a backup, then tried to delete them all and re-downloading them from the app-store, it was working but some apps didn’t appear on my iPhone, had to go back to the app-store to open them",APP_STORE_PURCHASE,APP_STORE_PURCHASE,0.3212610787694126,True,ASK_DIAGNOSTIC_QUESTION | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.32, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Could you tell us a little more about what is happening and when the issue started? Please also share your device model and the iOS version currently installed.
137,"@AppleSupport Pc, iOS 11.3. Unfortunately I am leaving work now and won’t be near the pc, but maybe you could investigate. New handset (7) setup normal...",OTHER,APP_PROBLEM,0.19263967919779268,False,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.19, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
98,@AppleSupport This happens when Music is being played off the speakers or I’m on a phone call.. while volume is set above 70%.. please have a look at the link I shared to the forum thread.. my iPhone X isn’t the only one!,HARDWARE_DEVICE,HARDWARE_DEVICE,0.6122524019362215,True,PROVIDE_ARTICLE | ANNOUNCE_FIX_UPDATE,AUTO-HANDLE,"Intent confidence is 0.61 and historical evidence supports 2 resolution action(s), including an action observed in at least 3 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue.
169,@AppleSupport 6Splus 64gig ios11.03 apps take forever to load; battery sucked 2x as fast as as v.10 generally stuttering and slow responsiveness.,PERFORMANCE_STABILITY,BATTERY_POWER,0.37347520179095584,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.37, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
124,@AppleSupport It’s asking me to sign in to some random iTunes account...,ACCOUNT_APPLE_ID,ACCOUNT_APPLE_ID,0.7749454340695654,True,CONTACT_SUPPORT_DM,AUTO-HANDLE,"Intent confidence is 0.77 and historical evidence supports 1 resolution action(s), including an action observed in at least 4 retrieved cases.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
166,"@AppleSupport yes it’s been restarted multiple times, i’ve also reset the network settings",CONNECTIVITY,CONNECTIVITY,0.2660319132921574,True,ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.27, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed.
13,@AppleSupport How do you close a app when it crashes? When you had the home button you could double tap and force quit!,APP_PROBLEM,APP_PROBLEM,0.40551349571253537,True,PROVIDE_ARTICLE,ESCALATE,"Intent confidence is 0.41, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. We can also point you to the relevant Apple Support resource for this issue.
36,@AppleSupport I did that and re enabled it. Still doesn't work. I have to manually refresh the app store for updates to even pop up. What gives?,APP_STORE_PURCHASE,APP_STORE_PURCHASE,0.23633132619541047,True,CONTACT_SUPPORT_DM,ESCALATE,"Intent confidence is 0.24, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please send us a DM with the relevant details so we can look into this with you.
163,"@AppleSupport Music is awesome, indeed. I have an iPhone 6s and and iPad Air, both with the latest iOS 11.0.2. I hope you can help me.",MUSIC_MEDIA,APP_PROBLEM,0.21571034715849713,False,CONTACT_SUPPORT_DM | ASK_FOR_DETAILS,ESCALATE,"Intent confidence is 0.22, below the 0.60 threshold.",Thanks for reaching out. We'd be happy to help with this. Please also share your device model and the iOS version currently installed. Please send us a DM with the relevant details so we can look into this with you.
